Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
101625;DWS Short Maturity Fund-Dividend-Monthly;10.4561;10.4561;10.4561;24-Dec-2007
101626;DWS Short Maturity Fund-Dividend-WEEKLY DIVIDEND;10.2437;10.2437;10.2437;24-Dec-2007
101627;DWS Short Maturity Fund-Growth Plan-GROWTH;13.4035;13.4035;13.4035;24-Dec-2007

DSP Merrill Lynch Mutual Fund
100077;DSP Merrill Lynch Bond Fund - Retail Plan-Dividend;10.7977; 10.7437 ; 10.7977 ;24-Dec-2007
100078;DSP Merrill Lynch Bond Fund - Retail Plan-Growth;26.0067; 25.8767 ; 26.0067 ;24-Dec-2007
100079;DSP Merrill Lynch Bond Fund - Retail Plan-Monthly Dividend;10.5607; 10.5079 ; 10.5607 ;24-Dec-2007
104143;DSP Merrill Lynch Liquid Plus Fund - Institutional Plan - Daily Dividend Reinvest;1000.3800; 1000.3800 ; 1000.3800 ;24-Dec-2007
104142;DSP Merrill Lynch Liquid Plus Fund - Institutional Plan - Growth;1106.5201; 1106.5201 ; 1106.5201 ;24-Dec-2007
104141;DSP Merrill Lynch Liquid Plus Fund - Institutional Plan - Weekly Dividend;1001.0883; 1001.0883 ; 1001.0883 ;24-Dec-2007
104140;DSP Merrill Lynch Liquid Plus Fund - Regular Plan - Daily Dividend Reinvest;1000.3800; 1000.3800 ; 1000.3800 ;24-Dec-2007
104138;DSP Merrill Lynch Liquid Plus Fund - Regular Plan - Growth;1100.9490; 1100.9490 ; 1100.9490 ;24-Dec-2007
104139;DSP Merrill Lynch Liquid Plus Fund - Regular Plan - Weekly Dividend Reinvest;1001.0554; 1001.0554 ; 1001.0554 ;24-Dec-2007
102448;DSP Merrill Lynch Savings Plus Fund - Aggressive-Growth;15.4956; 15.3406 ; 15.4956 ;24-Dec-2007

102450;DSP Merrill Lynch Savings Plus Fund - Aggressive-Monthly Dividend;10.7885; 10.6806 ; 10.7885 ;24-Dec-2007
